epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,723.531,2.08718,1.05119,1.27202,0.88835,0.46131,0.59971,0.20962,2.15224,1.07253,1.41569,0.000709809,0.000709809,0.000709809
60,735.93,2.06326,1.03421,1.28871,0.67192,0.5442,0.64071,0.22182,2.15488,1.07775,1.40415,0.000693305,0.000693305,0.000693305
61,748.41,2.0694,1.02962,1.2676,0.72118,0.57333,0.64287,0.2162,2.16291,1.07399,1.39142,0.000676802,0.000676802,0.000676802
62,760.723,2.08716,1.03091,1.25983,0.68861,0.58011,0.64423,0.21287,2.172,1.0594,1.4082,0.000660299,0.000660299,0.000660299
63,771.885,2.07007,1.01986,1.27286,0.74954,0.5451,0.59536,0.20794,2.18865,1.03214,1.40444,0.000643795,0.000643795,0.000643795
64,783.757,2.07061,1.02595,1.28286,0.72354,0.6113,0.63699,0.19816,2.19397,1.11361,1.42474,0.000627292,0.000627292,0.000627292
65,795.962,2.05979,1.02227,1.26517,0.71137,0.64918,0.63789,0.21684,2.14738,1.06215,1.40557,0.000610789,0.000610789,0.000610789
66,808.344,2.06832,1.0226,1.28108,0.73101,0.59181,0.6445,0.21484,2.16165,1.08177,1.40599,0.000594286,0.000594286,0.000594286
67,820.268,2.0551,1.00962,1.26418,0.71362,0.67503,0.65281,0.21918,2.16451,1.06564,1.40561,0.000577782,0.000577782,0.000577782
68,832.685,2.06325,1.00618,1.25837,0.71459,0.6749,0.65531,0.22109,2.15087,1.05292,1.39922,0.000561279,0.000561279,0.000561279
69,844.9,2.0608,1.01211,1.26598,0.71278,0.66354,0.66763,0.2231,2.18042,1.0519,1.41903,0.000544776,0.000544776,0.000544776
70,856.692,2.05505,1.00314,1.28254,0.76126,0.64666,0.6741,0.22241,2.17997,1.05429,1.42002,0.000528272,0.000528272,0.000528272
71,868.743,2.06096,0.99961,1.26921,0.70818,0.6578,0.66147,0.21564,2.2051,1.06567,1.43024,0.000511769,0.000511769,0.000511769
72,880.682,2.05561,1.01073,1.28912,0.78408,0.66567,0.66985,0.22521,2.16432,1.04536,1.4116,0.000495266,0.000495266,0.000495266
73,893.255,2.0524,1.01001,1.27563,0.75262,0.63089,0.66284,0.22791,2.1554,1.05406,1.40128,0.000478762,0.000478762,0.000478762
74,905.255,2.06119,0.99777,1.26433,0.74038,0.61081,0.66262,0.23028,2.15833,1.06295,1.39876,0.000462259,0.000462259,0.000462259
75,918.05,2.05794,0.99109,1.25503,0.67368,0.5948,0.6281,0.21228,2.23635,1.10863,1.43319,0.000445756,0.000445756,0.000445756
76,930.064,2.06143,0.98841,1.25799,0.76591,0.65547,0.65993,0.23056,2.17867,1.03211,1.41655,0.000429253,0.000429253,0.000429253
77,941.945,2.04699,0.9883,1.2739,0.75107,0.66865,0.67971,0.2355,2.1924,1.02159,1.42954,0.000412749,0.000412749,0.000412749
78,954.044,2.05987,1.00028,1.26209,0.68754,0.68323,0.6736,0.22826,2.17776,1.03344,1.40968,0.000396246,0.000396246,0.000396246
79,965.656,2.04578,0.99276,1.27262,0.74791,0.63394,0.66029,0.22293,2.19728,1.04033,1.42536,0.000379743,0.000379743,0.000379743
80,978.169,2.04563,0.98851,1.25892,0.73575,0.68748,0.67569,0.23095,2.16225,1.03799,1.41359,0.000363239,0.000363239,0.000363239
81,990.181,2.05076,0.9907,1.25951,0.73788,0.7124,0.70183,0.23245,2.16577,1.03381,1.42071,0.000346736,0.000346736,0.000346736
82,1002.36,2.05085,0.98379,1.26649,0.7199,0.69055,0.68363,0.23365,2.16221,1.04528,1.40979,0.000330233,0.000330233,0.000330233
83,1014.89,2.0543,1.00075,1.27172,0.74337,0.70416,0.69724,0.2244,2.17763,1.04573,1.41468,0.000313729,0.000313729,0.000313729
84,1025.81,2.03453,0.96924,1.25615,0.72609,0.69674,0.66257,0.21426,2.20767,1.06168,1.42731,0.000297226,0.000297226,0.000297226
85,1037.25,2.04763,0.99628,1.27191,0.75756,0.67839,0.67653,0.22338,2.17524,1.05056,1.40827,0.000280723,0.000280723,0.000280723
86,1049.46,2.0278,0.98438,1.26052,0.76583,0.68196,0.68163,0.22316,2.17554,1.04725,1.41158,0.00026422,0.00026422,0.00026422
87,1061.57,2.04185,0.98747,1.28625,0.72301,0.69484,0.68419,0.23318,2.17318,1.01967,1.41345,0.000247716,0.000247716,0.000247716
88,1074.14,2.03433,0.97442,1.25162,0.73775,0.71691,0.68553,0.21927,2.21628,1.06266,1.42894,0.000231213,0.000231213,0.000231213
89,1086.11,2.0341,0.97878,1.25698,0.76295,0.70951,0.70967,0.23497,2.18047,1.02072,1.41805,0.00021471,0.00021471,0.00021471
90,1099.03,2.0496,0.98527,1.26217,0.73398,0.70513,0.67963,0.21785,2.21204,1.05233,1.42992,0.000198206,0.000198206,0.000198206
91,1114.3,2.01991,1.02617,1.31599,0.75114,0.69574,0.68293,0.22757,2.17526,1.03072,1.41759,0.000181703,0.000181703,0.000181703
92,1126.44,2.01598,1.00213,1.30569,0.71298,0.66402,0.66824,0.22733,2.17361,1.03153,1.41764,0.0001652,0.0001652,0.0001652
93,1137.59,2.01605,0.98257,1.31163,0.79533,0.68332,0.69464,0.22511,2.17531,1.02406,1.42475,0.000148696,0.000148696,0.000148696
94,1149.18,2.01637,0.97955,1.30352,0.78502,0.70283,0.69803,0.22625,2.17746,1.0229,1.42186,0.000132193,0.000132193,0.000132193
95,1161.39,2.01714,0.97572,1.29856,0.78283,0.67704,0.68569,0.22621,2.18897,1.03648,1.42461,0.00011569,0.00011569,0.00011569
96,1173.36,2.00395,0.97852,1.30223,0.78067,0.65576,0.69349,0.22615,2.1903,1.03386,1.42502,9.91865e-05,9.91865e-05,9.91865e-05
97,1185.2,1.99958,0.96907,1.29177,0.77165,0.66444,0.69968,0.22938,2.17696,1.02357,1.42298,8.26832e-05,8.26832e-05,8.26832e-05
98,1197.03,2.0006,0.97087,1.29294,0.80709,0.66735,0.71712,0.23412,2.17787,1.02507,1.4254,6.61799e-05,6.61799e-05,6.61799e-05
99,1208.06,2.00107,0.96694,1.3036,0.77511,0.68666,0.71147,0.23202,2.1781,1.02119,1.42296,4.96766e-05,4.96766e-05,4.96766e-05
100,1219.99,2.00199,0.9749,1.31454,0.78418,0.68425,0.70754,0.23106,2.17826,1.02057,1.42138,3.31733e-05,3.31733e-05,3.31733e-05
